,Status,City,State,ServicePop,Restoration
250,Moratorium,Romeoville ,Illinois,52000,N
251,Moratorium,Schaumburg,Illinois,74550,N
252,Moratorium,Skokie,Illinois,64784,N
253,Moratorium,Springfield,Illinois,119395,N
254,Moratorium,Statewide (regulated),Illinois,1215296,N
255,Moratorium,Thomasboro,Illinois,1233,N
256,Moratorium,Waukegan,Illinois,88182,N
257,Moratorium,Wheaton,Illinois,52894,N
258,Moratorium,Woodridge,Illinois,35521,N
259,Moratorium,Bloomington,Indiana,NA,N
260,Moratorium,Carmel,Indiana,NA,N
261,Moratorium,Evansville,Indiana,NA,N
262,Moratorium,Fort Wayne,Indiana,NA,N
263,Moratorium,Frankfort,Indiana,NA,N
264,Moratorium,Hanover,Indiana,NA,N
265,Moratorium,Indianapolis,Indiana,NA,Y
266,Moratorium,Lafayette,Indiana,NA,N
267,Moratorium,Richmond,Indiana,NA,N
268,Moratorium,South Bend,Indiana,NA,N
269,Moratorium,Statewide (all),Indiana,12031020,N
270,Moratorium,Sullivan,Indiana,NA,Y
271,Moratorium,Whitestown,Indiana,NA,N
272,Moratorium,Ames,Iowa,50029,N
273,Moratorium,Boone,Iowa,12934,N
274,Moratorium,Cedar Rapids,Iowa,129214,N
275,Moratorium,Council Bluffs Water Works,Iowa,63795,N
276,Moratorium,Des Moines,Iowa,233020,N
277,Moratorium,Dubuque,Iowa,58485,N
278,Moratorium,Fayette ,Iowa,1338,N
279,Moratorium,Glidden,Iowa,1146,N
280,Moratorium,Iowa City,Iowa,63265,N
281,Moratorium,Marion,Iowa,37878,N
282,Moratorium,Muscatine ,Iowa,24386,N
283,Moratorium,North Liberty,Iowa,18311,N
284,Moratorium,Panora,Iowa,1189,N
285,Moratorium,Sioux City ,Iowa,82759,N
286,Moratorium,Statewide (regulated),Iowa,165785,N
287,Moratorium,Williamsburg,Iowa,3068,N
288,Moratorium,Blue Rapids,Kansas,NA,N
289,Moratorium,De Soto,Kansas,NA,N
290,Moratorium,Lawrence,Kansas,NA,N
291,Moratorium,Salina,Kansas,NA,N
292,Moratorium,Statewide (all),Kansas,2852132,N
293,Moratorium,Topeka,Kansas,NA,N
294,Moratorium,Water District 1,Kansas,NA,N
295,Moratorium,Wichita,Kansas,NA,N
296,Moratorium,Ashland,Kentucky,44402,N
297,Moratorium,Bowling Green,Kentucky,44912,N
298,Moratorium,Corbin Utility Commission,Kentucky,16065,N
299,Moratorium,Danville,Kentucky,32600,Y
300,Moratorium,Frankfort Electric and Water Plant Board,Kentucky,52153,N
301,Moratorium,Georgetown Municipal Water & Sewer Service,Kentucky,35714,N
302,Moratorium,Hopkinsville Water Environment Authority ,Kentucky,41350,N
303,Moratorium,Louisville Water,Kentucky,764769,N
304,Moratorium,Nicholasville,Kentucky,34253,N
305,Moratorium,Owensboro,Kentucky,58408,N
306,Moratorium,Paducah,Kentucky,64013,N
307,Moratorium,Statewide (regulated),Kentucky,2840152,N
308,Moratorium,Warren,Kentucky,NA,N
309,Moratorium,Winchester,Kentucky,32213,Y
310,Moratorium,Baker,Louisiana,13855,N
311,Moratorium,Baton Rouge,Louisiana,527067,N
312,Moratorium,Jefferson Parish,Louisiana,432552,Y
313,Moratorium,Marksville,Louisiana,7593,N
314,Moratorium,Monroe,Louisiana,52572,N
316,Moratorium,Shreveport,Louisiana,201000,N
317,Moratorium,Statewide (regulated),Louisiana,1160370,N
318,Moratorium,Portland,Maine,NA,N
319,Moratorium,Statewide (all),Maine,678779,N
321,Moratorium,Centreville,Maryland,NA,N
322,Moratorium,Statewide (all),Maryland,5327424,N
323,Moratorium,WSSC,Maryland,NA,N
324,Moratorium,Boston,Massachusetts,617594,N
326,Moratorium,Springfield,Massachusetts,230331,N
327,Moratorium,Statewide (regulated),Massachusetts,230557,N
328,Moratorium,Algonac,Michigan,NA,Y
329,Moratorium,Battle Creek,Michigan,NA,Y
330,Moratorium,Cadillac,Michigan,NA,Y
331,Moratorium,Chesaning,Michigan,NA,Y
332,Moratorium,Clay Township,Michigan,NA,N
333,Moratorium,Fennville,Michigan,NA,N
335,Moratorium,Grand Ledge,Michigan,NA,Y
336,Moratorium,Grand Rapids,Michigan,NA,Y
337,Moratorium,Kalamazoo,Michigan,NA,Y
338,Moratorium,Lansing,Michigan,NA,Y
339,Moratorium,Meridian Township,Michigan,NA,N
340,Moratorium,Port Huron,Michigan,NA,N
341,Moratorium,Saginaw,Michigan,NA,N
342,Moratorium,Statewide (all),Michigan,7321942,Y
343,Moratorium,Three Rivers,Michigan,NA,N
344,Moratorium,Benton Harbor,Michigan ,NA,N
345,Moratorium,Detroit,Michigan ,NA,Y
346,Moratorium,Shelby,Michigan ,NA,N
347,Moratorium,Duluth,Minnesota,86859,N
348,Moratorium,Eveleth,Minnesota,3770,N
349,Moratorium,Mankato,Minnesota,42803,N
350,Moratorium,Minneapolis,Minnesota,423990,N
351,Moratorium,New London,Minnesota,1251,N
352,Moratorium,Proctor,Minnesota,3088,N
353,Moratorium,Red Wing ,Minnesota,16459,N
354,Moratorium,Rochester ,Minnesota,114011,N
355,Moratorium,St. Paul,Minnesota,395131,N
356,Moratorium,Houlka,Mississippi,1707,N
357,Moratorium,Oxford,Mississippi,25000,N
358,Moratorium,Statewide (regulated),Mississippi,66009,N
359,Moratorium,Tupelo,Mississippi,38842,N
360,Moratorium,Bonne Terre ,Missouri,3800,N
361,Moratorium,Cole County PWSD No. 2,Missouri,12945,N
362,Moratorium,Cole County PWSD No. 3,Missouri,1875,N
363,Moratorium,Elsberry,Missouri,1963,N
364,Moratorium,Herculaneum City,Missouri,3468,N
365,Moratorium,Joplin,Missouri,55309,N
366,Moratorium,Kansas City,Missouri,471767,N
367,Moratorium,Kirkwood,Missouri,28000,N
368,Moratorium,Maryville,Missouri,11972,N
370,Moratorium,Owensville,Missouri,2800,N
371,Moratorium,St Louis,Missouri,315685,N
372,Moratorium,Statewide (all),Montana,733724,N
373,Moratorium,Navajo Tribal Utility Authority,Navajo Nation,145880,N
374,Moratorium,Lincoln,Nebraska,280369,N
375,Moratorium,Omaha MUD,Nebraska,554091,N
377,Moratorium,Churchill County,Nevada,953,N
378,Moratorium,Henderson,Nevada,275000,N
379,Moratorium,Las Vegas Valley Water District,Nevada,1347550,N
380,Moratorium,North Las Vegas,Nevada,306570,N
381,Moratorium,Nye County,Nevada,451,N
382,Moratorium,Storey County,Nevada,1420,N
383,Moratorium,Truckee Meadows Water Authority,Nevada,311932,N
384,Moratorium,West Wendover,Nevada,4200,N
385,Moratorium,Manchester,New Hampshire,NA,N
386,Moratorium,Statewide (all),New Hampshire,893290,N
387,Moratorium,Alpha,New Jersey,NA,N
388,Moratorium,East Orange,New Jersey,NA,N
389,Moratorium,Jersey City,New Jersey,NA,N
391,Moratorium,Passaic Valley Water Commission,New Jersey,NA,N
392,Moratorium,Statewide (all),New Jersey,8845982,N
393,Moratorium,Statewide (regulated),New Jersey,NA,N
394,Moratorium,Trenton,New Jersey,NA,N
395,Moratorium,Albuquerque,New Mexico,601983,N
396,Moratorium,Farmington,New Mexico,38000,N
397,Moratorium,Las Cruces,New Mexico,102308,N
398,Moratorium,Santa Fe,New Mexico,78247,N
399,Moratorium,Statewide (regulated),New Mexico,162486,N
401,Moratorium,Binghamton,New York,47600,N
402,Moratorium,Erie County Water Authority,New York,328225,Y
404,Moratorium,Niagara Falls,New York,50193,N
405,Moratorium,Rochester City,New York,214000,N
406,Moratorium,Statewide (regulated),New York,1103531,N
407,Moratorium,Suffolk County Water Authority ,New York,1100000,N
408,Moratorium,Town of Hempstead,New York,110000,N
409,Moratorium,Buffalo,New York ,276000,Y
410,Moratorium,Asheville,North Carolina,NA,N
411,Moratorium,Black Mountain,North Carolina,NA,Y
412,Moratorium,Brunswick Regional Water and Sewer,North Carolina,NA,N
413,Moratorium,Cape Fear Public Utility Authority ,North Carolina,NA,Y
414,Moratorium,Cary,North Carolina,NA,N
415,Moratorium,Charlotte,North Carolina,NA,Y
416,Moratorium,Conover,North Carolina,NA,N
417,Moratorium,Davie County,North Carolina,NA,N
418,Moratorium,Durham,North Carolina,NA,N
419,Moratorium,Elkin,North Carolina,NA,Y
420,Moratorium,Fayetteville,North Carolina,NA,N
421,Moratorium,Gastonia,North Carolina,NA,N
422,Moratorium,Greensboro,North Carolina,NA,Y
423,Moratorium,Harnett County,North Carolina,NA,N
425,Moratorium,Hendersonville,North Carolina,NA,Y
426,Moratorium,Montreat,North Carolina,NA,N
427,Moratorium,Murfreesboro,North Carolina,NA,N
428,Moratorium,Nags Head,North Carolina,NA,N
429,Moratorium,Orange Water and Sewer Authority,North Carolina,NA,N
430,Moratorium,Raleigh,North Carolina,NA,N
431,Moratorium,Robbins,North Carolina,NA,N
432,Moratorium,Rose Hill,North Carolina,NA,N
433,Moratorium,Salisbury,North Carolina,NA,Y
434,Moratorium,Salisbury,North Carolina,NA,N
435,Moratorium,Seaboard,North Carolina,NA,N
436,Moratorium,Snow Hill,North Carolina,NA,N
437,Moratorium,Statewide (all),North Carolina,8596296,N
438,Moratorium,Statewide (regulated),North Carolina,NA,N
439,Moratorium,Tuckaseigee ,North Carolina,NA,Y
440,Moratorium,Waynesville,North Carolina,NA,N
441,Moratorium,Winston Salem,North Carolina,NA,Y
442,Moratorium,Grand Forks,North Dakota,57339,N
443,Moratorium,Akron,Ohio,NA,Y
444,Moratorium,Alliance,Ohio,NA,N
445,Moratorium,Athens,Ohio,NA,N
446,Moratorium,Chillicothe,Ohio,NA,N
448,Moratorium,Cleveland,Ohio,NA,Y
449,Moratorium,Columbus,Ohio,NA,N
450,Moratorium,Dayton,Ohio,NA,N
451,Moratorium,Delaware City,Ohio,NA,Y
452,Moratorium,Findlay,Ohio,NA,N
454,Moratorium,Huber Heights,Ohio,NA,N
455,Moratorium,Kent,Ohio,NA,Y
456,Moratorium,Lakewood,Ohio,NA,N
457,Moratorium,Leesburg,Ohio,NA,N
458,Moratorium,Lorain,Ohio,NA,Y
459,Moratorium,Medina,Ohio,NA,N
460,Moratorium,Miami County ,Ohio,NA,N
461,Moratorium,Middletown,Ohio,NA,N
462,Moratorium,Montgomery County,Ohio,NA,N
463,Moratorium,Nelsonville,Ohio,NA,N
464,Moratorium,Sandusky,Ohio,NA,N
465,Moratorium,Springfield,Ohio,NA,N
466,Moratorium,Statewide (all),Ohio,10281811,Y
467,Moratorium,Toledo,Ohio,NA,Y
468,Moratorium,Troy,Ohio,NA,Y
469,Moratorium,Trumbull County,Ohio,NA,N
470,Moratorium,Vermilion,Ohio,NA,N
471,Moratorium,Westerville,Ohio,NA,N
472,Moratorium,Youngstown,Ohio,NA,N
473,Moratorium,Chickasha,Oklahoma,16036,N
474,Moratorium,Oklahoma City,Oklahoma,644000,N
475,Moratorium,Tulsa,Oklahoma,471000,Y
476,Moratorium,Albany,Oregon,56100,N
477,Moratorium,Aurora,Oregon,985,N
478,Moratorium,Beaverton,Oregon,70000,N
479,Moratorium,Bend,Oregon,62091,N
480,Moratorium,Canby,Oregon,16866,N
481,Moratorium,Coos Bay-North Bend Water Board,Oregon,34500,N
482,Moratorium,Corvallis,Oregon,56000,N
483,Moratorium,Eugene,Oregon,168000,N
484,Moratorium,Gresham,Oregon,73932,N
485,Moratorium,Hermiston,Oregon,17107,N
486,Moratorium,Independence,Oregon,8600,N
